Genes,chronic_est,chronic_q,acute_est_B2,acute_est_B3,acute_q,acute_est_B3_B2,same_sign_B2,same_sign_B3,same_sign_B3_B2
APMAP,0.447444361273234,0.00399583472531791,-0.474306295325101,-0.284128796549916,0.014753522556298,0.190177498775185,FALSE,FALSE,TRUE
GOLM2,0.641711068547642,0.0055883506230472,-0.446546387109231,-0.0786608699037247,0.0309396569244978,0.367885517205506,FALSE,FALSE,TRUE
PTX3,0.474060538455654,0.0055883506230472,-0.322390401349253,0.230539289436171,0.00523442218180438,0.552929690785424,FALSE,TRUE,TRUE
ACTN1,-0.424373296856919,0.00802525699692618,0.388023059016897,0.117453186340736,0.014753522556298,-0.270569872676161,FALSE,FALSE,TRUE
ACTN4,-0.242201134714537,0.0161201040585561,0.270953945641589,0.052276813276494,0.00817942286953531,-0.218677132365095,FALSE,FALSE,TRUE
FAT1,0.43691779473881,0.0201679506366785,-0.47060407529756,-0.107061696687745,0.0174521159719792,0.363542378609815,FALSE,FALSE,TRUE
IGF1,0.538654089313378,0.0217056728449874,-0.421755674096017,0.499467127445588,0.012996858258917,0.921222801541605,FALSE,TRUE,TRUE
CHGA,0.479752821279129,0.0226161760465772,-0.506883874803313,-0.11480694789824,0.0351036673067247,0.392076926905073,FALSE,FALSE,TRUE
PRKCA,-0.29884805010035,0.0362617610571836,0.27639088366257,-0.0071643451914337,0.0336297298171022,-0.283555228854004,FALSE,TRUE,TRUE
DMKN,0.417173276203478,0.0408605071825396,-0.555832874155253,-0.325092048548595,0.0178887816698697,0.230740825606658,FALSE,FALSE,TRUE
PIP4K2A,-0.284177218651792,0.0408605071825396,0.313017749660161,0.174722347172455,0.0187187562035195,-0.138295402487706,FALSE,FALSE,TRUE
PLXNA4,-0.301164818321334,0.0408605071825396,0.30215141059366,0.149560837137642,0.0480535179972318,-0.152590573456018,FALSE,FALSE,TRUE
